"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 10:05:18 CST 2022","Wed Sep 28 10:05:18 CST 2022","0","testcases","test_webscript_4_2_002","TestCases2","","","test_4",""
"passed","Wed Sep 28 10:05:18 CST 2022","Wed Sep 28 10:05:18 CST 2022","0","testcases","test_webscript_4_2_002","TestCases2","","","test_3",""
